case,prompt_tokens,trials,prefill_wall_ms,decode_wall_ms_per_token,request_wall_ms,prefill_cuda_ms,decode_cuda_ms_per_token,prefill_incremental_peak_bytes
teacher,1024,12,58.79560858011246,22.38826674874872,1492.5005165860057,58.83808135986328,22.395487785339355,98574336.0
ad_plain,1024,12,60.089739970862865,23.921116939163767,1590.8705741167068,60.00956726074219,23.909951210021973,101696512.0
ad_matched,1024,12,60.2627107873559,23.867049443651922,1587.7350457012653,60.18806457519531,23.839688301086426,101696512.0
hh_exp,1024,12,63.66091687232256,23.66518770577386,1578.6722116172314,63.53200149536133,23.65231990814209,325952512.0
hh_softmax,1024,12,63.557982444763184,23.813509935280308,1587.952770292759,63.46352005004883,23.815744400024414,325952512.0
teacher,4096,12,225.17259791493416,22.404311792342924,1659.096040762961,225.1894073486328,22.387697219848633,390103040.0
ad_plain,4096,12,228.90948317945004,23.83410488255322,1754.312800243497,228.60979461669922,23.79963207244873,405578752.0
ad_matched,4096,12,229.50098663568497,23.98446547158528,1764.443440362811,228.8247528076172,23.952176094055176,405578752.0
hh_exp,4096,12,241.93126056343317,23.784817109117284,1764.0566043555737,241.5702667236328,23.74179172515869,1281147904.0
hh_softmax,4096,12,241.87743850052357,23.827793411328457,1766.4401400834322,241.48799896240234,23.71939182281494,1281147904.0
teacher,8192,12,467.1417009085417,22.430956640164368,1902.4089388549328,467.44273376464844,22.43626308441162,780206080.0
ad_plain,8192,12,471.45833261311054,23.79357635800261,1996.4389726519585,471.42176818847656,23.717440605163574,810755072.0
ad_matched,8192,12,471.9545068219304,23.892355704447255,2000.7374789565802,472.1158752441406,23.907103538513184,810755072.0
hh_exp,8192,12,496.76108080893755,23.772110653226264,2017.7699821069837,496.7333984375,23.778143882751465,2558936064.0
hh_softmax,8192,12,496.95355352014303,23.878598673036322,2026.4839101582766,497.0113067626953,23.870736122131348,2558936064.0
